id,smiles,delta_eps,delta_eps_am1,delta_eps_r2scan3c
de_cp_0149,CCCc0ccc(c1c(F)cc(c2ccc([Cl])cc2)cc1)cc0,,0.965525638,3.134510671
de_cp_0150,CCCc0ccc(c1c(F)cc(c2ccc(C#N)cc2)cc1)cc0,14,9.828875064,26.29712805
de_cp_0151,CCCCCc0ccc(c1c(F)cc(c2ccc(SC)cc2)cc1)cc0,3,0.739475271,0.824289522
de_cp_0152,CCCCCc0ccc(c1c(F)cc(c2ccc(OC)cc2)cc1)cc0,2,0.803032549,1.404533464
de_cp_0153,CCCCCc0ccc(c1c(F)cc(c2ccc([Cl])cc2)cc1)cc0,5,0.839744075,3.032417408
de_cp_0154,CCCCCc0ccc(c1c(F)cc(c2ccc(C#N)cc2)cc1)cc0,10,9.936965975,25.29078391
de_cp_0155,CCCc0cc(F)c(c1cc(F)c(c2ccc(SC)cc2)cc1)cc0,8,1.423335686,1.011813463
de_cp_0156,CCCc0cc(F)c(c1cc(F)c(c2ccc([Cl])cc2)cc1)cc0,16,7.922609962,10.19826923
de_cp_0157,CCCCCc0cc(F)c(c1cc(F)c(c2ccc(SC)cc2)cc1)cc0,5,2.121352098,1.866410984
de_cp_0158,CCCCCc0cc(F)c(c1cc(F)c(c2ccc([Cl])cc2)cc1)cc0,12,6.07874659,8.908182228
de_cp_0159,CCCCC0CCC(c1noc(c2ccc(N(=O)(=O))cc2)n1)CC0,3.7,13.57994915,11.06014398
de_cp_0160,CCCCC0CCC(c1onc(c2ccc(N(=O)(=O))cc2)n1)CC0,6.7,36.0868473,30.23170873
de_cp_0161,CCCCCc0ccc(c1noc(c2ccc(N(=O)(=O))cc2)n1)cc0,11.5,19.25649955,16.1401257
de_cp_0162,CCCCCc0ccc(c1onc(c2ccc(N(=O)(=O))cc2)n1)cc0,17.6,48.63773871,42.66221927
de_cp_0163,CCCCCCCCOc0c(F)cc(c1noc(c2ccc(N(=O)(=O))cc2)n1)cc0,6.9,7.783595636,9.745732066
de_cp_0164,CCCCCCCCOc0c(F)cc(c1onc(c2ccc(N(=O)(=O))cc2)n1)cc0,16.7,42.36388102,47.64189365
de_cp_0165,CCCCCC3CCC(C0CCC(c1noc(c2ccc(N(=O)(=O))cc2)n1)CC0)CC3,6.1,11.14960394,10.20793309
de_cp_0166,CCCCCC3CCC(C0CCC(c1onc(c2ccc(N(=O)(=O))cc2)n1)CC0)CC3,13.1,,26.8061827
de_cp_0167,CCCC3CCC(c0ccc(c1noc(c2ccc(N(=O)(=O))cc2)n1)cc0)CC3,9.7,16.76838143,14.71099825
de_cp_0168,CCCC3CCC(c0ccc(c1onc(c2ccc(N(=O)(=O))cc2)n1)cc0)CC3,12.5,44.02006137,39.55175809
de_cp_0169,CCCCCC3CCC(c0ccc(c1noc(c2ccc(N(=O)(=O))cc2)n1)cc0)CC3,10.7,15.67378167,14.361389
de_cp_0170,CCCCCC3CCC(c0ccc(c1noc(c2cc(N(=O)(=O))ccc2)n1)cc0)CC3,4.5,10.2060766,8.844498851
de_cp_0171,[Br]c0ccc(c1noc(c2ccc(N(=O)(=O))cc2)n1)cc0,5,5.719421631,2.802620066
