filename,smiles,reason,normal_termination,has_imag_freq,temperature_K,P2,kirkwood_g,density_kg_m3,iterations,converge_threshold,molecular_mass_amu,dipole_x_debye,dipole_y_debye,dipole_z_debye,dipole_debye,dipole_angle_deg,pol_iso_A3,pol_aniso_A3,delta_eps,eps_parallel,eps_perpendicular,eps_static,expde
de_cp_2806.log,OCc0cc(OCc9cc(OCCCCCCOc1ccc(c2cc(F)c(C(F)(F)Oc3cc(F)c(F)c(F)c3)c(F)c2)cc1)cc(OCCCCCCOc1ccc(c2cc(F)c(C(F)(F)Oc3cc(F)c(F)c(F)c3)c(F)c2)cc1)c9)cc(OCc9cc(OCCCCCCOc1ccc(c2cc(F)c(C(F)(F)Oc3cc(F)c(F)c(F)c3)c(F)c2)cc1)cc(OCCCCCCOc1ccc(c2cc(F)c(C(F)(F)Oc3cc(F)c(F)c(F)c3)c(F)c2)cc1)c9)c0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,398.24327,-0.0764,5.657,-1.0878,5.761145268,89.24016395,30.68984376,17.03263145,-9.349585458,6.554722857,15.90430832,12.78777983,-13.1
de_cp_2807.log,Cc0cc(OCc9cc(OCCCCCCOc1ccc(c2cc(F)c(C(F)(F)Oc3cc(F)c(F)c(F)c3)c(F)c2)cc1)cc(OCCCCCCOc1ccc(c2cc(F)c(C(F)(F)Oc3cc(F)c(F)c(F)c3)c(F)c2)cc1)c9)cc(OCc9cc(OCCCCCCOc1ccc(c2cc(F)c(C(F)(F)Oc3cc(F)c(F)c(F)c3)c(F)c2)cc1)cc(OCCCCCCOc1ccc(c2cc(F)c(C(F)(F)Oc3cc(F)c(F)c(F)c3)c(F)c2)cc1)c9)c0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,398.24327,1.5962,-3.9082,0.9752,4.332770098,68.38291844,30.71676398,18.41260063,-2.720800032,5.922714369,8.643514401,7.736581057,-13.1
de_cp_2808.log,Cc0cc(OCc9cc(OCCCCCCOc1ccc(c2c(F)c(F)c(OCC)cc2)cc1)cc(OCCCCCCOc1ccc(c2c(F)c(F)c(OCC)cc2)cc1)c9)cc(OCc9cc(OCCCCCCOc1ccc(c2c(F)c(F)c(OCC)cc2)cc1)cc(OCCCCCCOc1ccc(c2c(F)c(F)c(OCC)cc2)cc1)c9)c0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,480.32152,0.5384,-5.5379,-1.4342,5.745880316,84.62338815,37.66144042,19.79840701,-7.391607758,5.904007694,13.29561545,10.8317462,-11.98
de_cp_2809.log,Cc0cc(OCc9cc(OCCCCCCOc1ccc(c2cc(F)c(F)c(F)c2)cc1)cc(OCCCCCCOc1ccc(c2cc(F)c(F)c(F)c2)cc1)c9)cc(OCc9cc(OCCCCCCOc1ccc(c2cc(F)c(F)c(F)c2)cc1)cc(OCCCCCCOc1ccc(c2cc(F)c(F)c(F)c2)cc1)c9)c0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,376.24137,-0.2394,-1.1675,0.876,1.479102637,80.68542269,30.83279261,19.70466119,-0.124971517,2.318144473,2.44311599,2.401458818,
de_cp_2810.log,Cc0cc(OCc9cc(OCCCCCCOc1ccc(C2CCC(CCCCC)CC2)cc1)cc(OCCCCCCOc1ccc(C2CCC(CCCCC)CC2)cc1)c9)cc(OCc9cc(OCCCCCCOc1ccc(C2CCC(CCCCC)CC2)cc1)cc(OCCCCCCOc1ccc(C2CCC(CCCCC)CC2)cc1)c9)c0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,464.15863,6.8445,0.0036,-0.6195,6.872479426,5.17187189,33.16349112,25.03583501,23.38011634,30.43426608,7.054149738,14.84752185,-10.38
de_cp_2811.log,Cc0cc(OCc9cc(OCCCCCCOc1ccc(c2ccc(C#N)cc2)cc1)cc(OCCCCCCOc1ccc(c2ccc(C#N)cc2)cc1)c9)cc(OCc9cc(OCCCCCCOc1ccc(c2ccc(C#N)cc2)cc1)cc(OCCCCCCOc1ccc(c2ccc(C#N)cc2)cc1)c9)c0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,482.14921,-7.2291,0.4687,2.4329,7.641895636,18.91817497,33.32713644,24.5820018,23.64039916,32.99479803,9.354398868,17.23453192,
de_cp_2812.log,CCCC0CCC(C2CCC(C(F)(F)Oc4cc(F)c(OC=C(F)F)c(F)c4)CC2)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,514.15543,-4.9001,0.9306,0.0354,4.987810094,10.76083427,33.8111571,21.01788909,9.784597104,13.88975056,4.105153458,7.366685826,-1.17
de_cp_2813.log,CCCc0ccc(c2ccc(C(F)(F)Oc4cc(F)c(OC=C(F)F)c(F)c4)cc2)cc0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,398.16691,5.7007,-0.3562,0.4157,5.726924604,5.485260182,30.433583,21.73886173,19.24096901,25.42867761,6.187708597,12.60136493,-4.63
de_cp_2814.log,CCCc0ccc(c2cc(F)c(C(F)(F)Oc4cc(F)c(OC=C(F)F)c(F)c4)c(F)c2)cc0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,494.09283,9.0346,0.4315,0.2423,9.048143384,3.135275278,35.17243124,31.1198788,39.16342282,49.63403365,10.47061083,23.5250851,-9.16
de_cp_2815.log,CCCC0COC(C2CCC(C(F)(F)Oc4cc(F)c(OC=C(F)F)c(F)c4)CC2)OC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,728.15847,-12.1817,0.2276,0.409,12.19068897,2.200418288,58.5460501,60.7385535,51.61694302,64.87796545,13.26102243,30.4666701,-5.18
